"Country or Area","Year(s)","RESIDENCE AREA","Value","Value Footnotes"
"Armenia","2012","Rural","100",""
"Armenia","2010","Rural","97",""
"Armenia","2010","Total","99",""
"Armenia","2010","Urban","99",""
"Armenia","2005","Rural","89",""
"Armenia","2005","Total","96",""
"Armenia","2005","Urban","99",""
"Armenia","2000","Rural","82",""
"Armenia","2000","Total","93",""
"Armenia","2000","Urban","99",""
"Australia","2012","Total","100",""
"Australia","2012","Urban","100",""
"Australia","2012","Rural","100",""
"Australia","2010","Total","100",""
"Australia","2010","Urban","100",""
"Australia","2010","Rural","100",""
"Australia","2005","Total","100",""
"Australia","2005","Urban","100",""
"Australia","2005","Rural","100",""
"Australia","2000","Total","100",""
"Australia","2000","Urban","100",""
"Australia","2000","Rural","100",""
"Austria","2012","Total","100",""
"Austria","2012","Urban","100",""
"Austria","2012","Rural","100",""
"Austria","2010","Total","100",""
"Austria","2010","Urban","100",""
"Austria","2010","Rural","100",""
"Austria","2005","Total","100",""
"Austria","2005","Urban","100",""
"Austria","2005","Rural","100",""
"Austria","2000","Total","100",""
"Austria","2000","Urban","100",""
"Austria","2000","Rural","100",""
"Azerbaijan","2012","Rural","71",""
"Azerbaijan","2012","Total","80",""
"Azerbaijan","2012","Urban","88",""
"Azerbaijan","2010","Rural","71",""
"Azerbaijan","2010","Total","80",""
"Azerbaijan","2010","Urban","88",""
"Azerbaijan","2005","Rural","66",""
"Azerbaijan","2005","Total","78",""
"Azerbaijan","2005","Urban","88",""
"Azerbaijan","2000","Rural","59",""
"Azerbaijan","2000","Total","74",""
"Azerbaijan","2000","Urban","88",""
"Bahamas","2012","Urban","98",""
"Bahamas","2012","Rural","98",""
"Bahamas","2012","Total","98",""
"Bahamas","2010","Urban","98",""
"Bahamas","2010","Rural","98",""
"Bahamas","2010","Total","98",""
"Bahamas","2005","Urban","97",""
"Bahamas","2005","Rural","97",""
"Bahamas","2005","Total","97",""
"Bahamas","2000","Total","97",""
"Bahamas","2000","Urban","97",""
"Bahamas","2000","Rural","97",""
"Bahrain","2012","Total","100",""
"Bahrain","2012","Urban","100",""
"Bahrain","2012","Rural","100",""
"Bahrain","2010","Total","100",""
"Bahrain","2010","Urban","100",""
"Bahrain","2010","Rural","100",""
"Bahrain","2005","Total","100",""
"Bahrain","2005","Urban","100",""
"Bahrain","2005","Rural","100",""
"Bahrain","2000","Total","99",""
"Bahrain","2000","Urban","99",""
"Bahrain","2000","Rural","99",""
"Bangladesh","2012","Rural","84",""
"Bangladesh","2012","Total","85",""
"Bangladesh","2012","Urban","86",""
"Bangladesh","2010","Total","83",""
"Bangladesh","2010","Rural","83",""
"Bangladesh","2010","Urban","85",""
"Bangladesh","2005","Rural","78",""
"Bangladesh","2005","Total","80",""
"Bangladesh","2005","Urban","84",""
"Bangladesh","2000","Rural","74",""
"Bangladesh","2000","Total","76",""
"Bangladesh","2000","Urban","83",""
"Barbados","2012","Total","100",""
"Barbados","2012","Urban","100",""
"Barbados","2012","Rural","100",""
"Barbados","2010","Total","100",""
"Barbados","2010","Urban","100",""
"Barbados","2010","Rural","100",""
"Barbados","2005","Total","100",""
"Barbados","2005","Urban","100",""
"Barbados","2005","Rural","100",""
"Barbados","2000","Total","99",""
"Barbados","2000","Urban","99",""
"Barbados","2000","Rural","99",""
"Belarus","2012","Rural","99",""
"Belarus","2012","Total","100",""
"Belarus","2012","Urban","100",""
"Belarus","2010","Rural","99",""
"Belarus","2010","Total","100",""
"Belarus","2010","Urban","100",""
"Belarus","2005","Rural","99",""
"Belarus","2005","Total","100",""
"Belarus","2005","Urban","100",""
"Belarus","2000","Rural","99",""
"Belarus","2000","Total","100",""
"Belarus","2000","Urban","100",""
"Belgium","2012","Total","100",""
"Belgium","2012","Urban","100",""
"Belgium","2012","Rural","100",""
"Belgium","2010","Total","100",""
"Belgium","2010","Urban","100",""
"Belgium","2010","Rural","100",""
"Belgium","2005","Total","100",""
"Belgium","2005","Urban","100",""
"Belgium","2005","Rural","100",""
"Belgium","2000","Total","100",""
"Belgium","2000","Urban","100",""
"Belgium","2000","Rural","100",""
"Belize","2012","Urban","98",""
"Belize","2012","Total","99",""
"Belize","2012","Rural","100",""
"Belize","2010","Total","97",""
"Belize","2010","Urban","97",""
"Belize","2010","Rural","97",""
"Belize","2005","Rural","88",""
"Belize","2005","Total","91",""
"Belize","2005","Urban","95",""
"Belize","2000","Rural","78",""
"Belize","2000","Total","85",""
"Belize","2000","Urban","92",""
"Benin","2012","Rural","69",""
"Benin","2012","Total","76",""
"Benin","2012","Urban","85",""
"Benin","2010","Rural","68",""
"Benin","2010","Total","75",""
"Benin","2010","Urban","84",""
"Benin","2005","Rural","63",""
"Benin","2005","Total","71",""
"Benin","2005","Urban","81",""
"Benin","2000","Rural","59",""
"Benin","2000","Total","66",""
"Benin","2000","Urban","78",""
"Bhutan","2012","Rural","97",""
"Bhutan","2012","Total","98",""
"Bhutan","2012","Urban","99",""
"Bhutan","2010","Rural","94",""
"Bhutan","2010","Total","96",""
"Bhutan","2010","Urban","99",""
"Bhutan","2005","Rural","87",""
"Bhutan","2005","Total","91",""
"Bhutan","2005","Urban","99",""
"Bhutan","2000","Rural","82",""
"Bhutan","2000","Total","86",""
"Bhutan","2000","Urban","99",""
"Bolivia (Plurinational State of)","2012","Rural","72",""
"Bolivia (Plurinational State of)","2012","Total","88",""
"Bolivia (Plurinational State of)","2012","Urban","96",""
"Bolivia (Plurinational State of)","2010","Rural","70",""
"Bolivia (Plurinational State of)","2010","Total","87",""
"Bolivia (Plurinational State of)","2010","Urban","96",""
"Bolivia (Plurinational State of)","2005","Rural","63",""
"Bolivia (Plurinational State of)","2005","Total","83",""
"Bolivia (Plurinational State of)","2005","Urban","94",""
"Bolivia (Plurinational State of)","2000","Rural","56",""
"Bolivia (Plurinational State of)","2000","Total","79",""
"Bolivia (Plurinational State of)","2000","Urban","93",""
"Bosnia and Herzegovina","2012","Rural","99",""
"Bosnia and Herzegovina","2012","Total","100",""
"Bosnia and Herzegovina","2012","Urban","100",""
"Bosnia and Herzegovina","2010","Total","99",""
"Bosnia and Herzegovina","2010","Rural","99",""
"Bosnia and Herzegovina","2010","Urban","100",""
"Bosnia and Herzegovina","2005","Total","98",""
"Bosnia and Herzegovina","2005","Rural","98",""
"Bosnia and Herzegovina","2005","Urban","99",""
"Bosnia and Herzegovina","2000","Rural","96",""
"Bosnia and Herzegovina","2000","Total","98",""
"Bosnia and Herzegovina","2000","Urban","99",""
"Botswana","2012","Rural","93",""
"Botswana","2012","Total","97",""
"Botswana","2012","Urban","99",""
"Botswana","2010","Rural","93",""
"Botswana","2010","Total","97",""
"Botswana","2010","Urban","99",""
"Botswana","2005","Rural","91",""
"Botswana","2005","Total","96",""
"Botswana","2005","Urban","99",""
"Botswana","2000","Rural","90",""
"Botswana","2000","Total","95",""
"Botswana","2000","Urban","99",""
"Brazil","2012","Rural","85",""
"Brazil","2012","Total","98",""
"Brazil","2012","Urban","100",""
"Brazil","2010","Rural","84",""
"Brazil","2010","Total","97",""
"Brazil","2010","Urban","99",""
"Brazil","2005","Rural","80",""
"Brazil","2005","Total","95",""
"Brazil","2005","Urban","98",""
"Brazil","2000","Rural","76",""
"Brazil","2000","Total","93",""
"Brazil","2000","Urban","98",""
"Bulgaria","2012","Total","99",""
"Bulgaria","2012","Rural","99",""
"Bulgaria","2012","Urban","100",""
"Bulgaria","2010","Rural","99",""
"Bulgaria","2010","Total","100",""
"Bulgaria","2010","Urban","100",""
"Bulgaria","2005","Rural","99",""
"Bulgaria","2005","Total","100",""
"Bulgaria","2005","Urban","100",""
"Bulgaria","2000","Rural","99",""
"Bulgaria","2000","Total","100",""
"Bulgaria","2000","Urban","100",""
"Burkina Faso","2012","Rural","76",""
"Burkina Faso","2012","Total","82",""
"Burkina Faso","2012","Urban","97",""
"Burkina Faso","2010","Rural","72",""
"Burkina Faso","2010","Total","78",""
"Burkina Faso","2010","Urban","95",""
"Burkina Faso","2005","Rural","63",""
"Burkina Faso","2005","Total","69",""
"Burkina Faso","2005","Urban","90",""
"Burkina Faso","2000","Rural","55",""
"Burkina Faso","2000","Total","60",""
"Burkina Faso","2000","Urban","85",""
"Burundi","2012","Rural","73",""
"Burundi","2012","Total","75",""
"Burundi","2012","Urban","92",""
"Burundi","2010","Rural","73",""
"Burundi","2010","Total","75",""
"Burundi","2010","Urban","92",""
"Burundi","2005","Rural","71",""
"Burundi","2005","Total","73",""
"Burundi","2005","Urban","93",""
"Burundi","2000","Rural","70",""
"Burundi","2000","Total","72",""
"Burundi","2000","Urban","94",""
"Cabo Verde","2012","Rural","86",""
"Cabo Verde","2012","Total","89",""
"Cabo Verde","2012","Urban","91",""
"Cabo Verde","2010","Rural","85",""
"Cabo Verde","2010","Total","88",""
"Cabo Verde","2010","Urban","90",""
"Cabo Verde","2005","Rural","83",""
"Cabo Verde","2005","Total","85",""
"Cabo Verde","2005","Urban","87",""
"Cabo Verde","2000","Rural","81",""
"Cabo Verde","2000","Total","83",""
"Cabo Verde","2000","Urban","84",""
"Cambodia","2012","Rural","66",""
"Cambodia","2012","Total","71",""
"Cambodia","2012","Urban","94",""
"Cambodia","2010","Rural","61",""
"Cambodia","2010","Total","66",""
"Cambodia","2010","Urban","88",""
"Cambodia","2005","Rural","49",""
"Cambodia","2005","Total","54",""
"Cambodia","2005","Urban","72",""
"Cambodia","2000","Rural","38",""
"Cambodia","2000","Total","42",""
"Cambodia","2000","Urban","57",""
"Cameroon","2012","Rural","52",""
"Cameroon","2012","Total","74",""
"Cameroon","2012","Urban","94",""
"Cameroon","2010","Rural","50",""
"Cameroon","2010","Total","72",""
"Cameroon","2010","Urban","93",""
"Cameroon","2005","Rural","46",""
"Cameroon","2005","Total","67",""
"Cameroon","2005","Urban","89",""
"Cameroon","2000","Rural","42",""
"Cameroon","2000","Total","62",""
"Cameroon","2000","Urban","85",""
"Canada","2012","Rural","99",""
"Canada","2012","Total","100",""
"Canada","2012","Urban","100",""
"Canada","2010","Rural","99",""
"Canada","2010","Total","100",""
"Canada","2010","Urban","100",""
"Canada","2005","Rural","99",""
"Canada","2005","Total","100",""
"Canada","2005","Urban","100",""
"Canada","2000","Rural","99",""
"Canada","2000","Total","100",""
"Canada","2000","Urban","100",""
"Central African Republic","2012","Rural","54",""
"Central African Republic","2012","Total","68",""
"Central African Republic","2012","Urban","90",""
"Central African Republic","2010","Rural","54",""
"Central African Republic","2010","Total","67",""
"Central African Republic","2010","Urban","89",""
"Central African Republic","2005","Rural","52",""
"Central African Republic","2005","Total","65",""
"Central African Republic","2005","Urban","86",""
"Central African Republic","2000","Rural","50",""
"Central African Republic","2000","Total","62",""
"Central African Republic","2000","Urban","84",""
"Chad","2012","Rural","45",""
"Chad","2012","Total","51",""
"Chad","2012","Urban","72",""
"Chad","2010","Rural","44",""
"Chad","2010","Total","50",""
"Chad","2010","Urban","70",""
"Chad","2005","Rural","42",""
"Chad","2005","Total","47",""
"Chad","2005","Urban","65",""
"Chad","2000","Rural","41",""
"Chad","2000","Total","45",""
"Chad","2000","Urban","60",""
"Chile","2012","Rural","91",""
"Chile","2012","Total","99",""
"Chile","2012","Urban","100",""
"Chile","2010","Rural","87",""
"Chile","2010","Total","98",""
"Chile","2010","Urban","100",""
"Chile","2005","Rural","78",""
"Chile","2005","Total","97",""
"Chile","2005","Urban","99",""
"Chile","2000","Rural","68",""
"Chile","2000","Total","95",""
"Chile","2000","Urban","99",""
"China","2012","Rural","85",""
"China","2012","Total","92",""
"China","2012","Urban","98",""
"China","2010","Rural","85",""
"China","2010","Total","92",""
"China","2010","Urban","98",""
"China","2005","Rural","78",""
"China","2005","Total","86",""
"China","2005","Urban","98",""
"China","2000","Rural","70",""
"China","2000","Total","80",""
"China","2000","Urban","98",""
"Colombia","2012","Rural","74",""
"Colombia","2012","Total","91",""
"Colombia","2012","Urban","97",""
"Colombia","2010","Rural","73",""
"Colombia","2010","Total","91",""
"Colombia","2010","Urban","97",""
"Colombia","2005","Rural","72",""
"Colombia","2005","Total","90",""
"Colombia","2005","Urban","97",""
"Colombia","2000","Rural","71",""
"Colombia","2000","Total","90",""
"Colombia","2000","Urban","97",""
"Comoros","2012","Rural","97",""
"Comoros","2010","Urban","91",""
"Comoros","2010","Total","95",""
"Comoros","2010","Rural","97",""
"Comoros","2005","Urban","91",""
"Comoros","2005","Total","95",""
"Comoros","2005","Rural","96",""
"Comoros","2000","Total","92",""
"Comoros","2000","Rural","92",""
"Comoros","2000","Urban","93",""
"Congo","2012","Rural","39",""
"Congo","2012","Total","75",""
"Congo","2012","Urban","96",""
"Congo","2010","Rural","38",""
"Congo","2010","Total","74",""
"Congo","2010","Urban","96",""
"Congo","2005","Rural","35",""
"Congo","2005","Total","72",""
"Congo","2005","Urban","95",""
"Congo","2000","Rural","32",""
"Congo","2000","Total","69",""
"Congo","2000","Urban","95",""
"Cook Islands","2012","Total","100",""
"Cook Islands","2012","Urban","100",""
"Cook Islands","2012","Rural","100",""
"Cook Islands","2010","Total","100",""
"Cook Islands","2010","Urban","100",""
"Cook Islands","2010","Rural","100",""
"Cook Islands","2005","Total","100",""
"Cook Islands","2005","Urban","100",""
"Cook Islands","2005","Rural","100",""
"Cook Islands","2000","Total","100",""
"Cook Islands","2000","Urban","100",""
"Cook Islands","2000","Rural","100",""
"Costa Rica","2012","Rural","91",""
"Costa Rica","2012","Total","97",""
"Costa Rica","2012","Urban","100",""
"Costa Rica","2010","Rural","91",""
"Costa Rica","2010","Total","96",""
"Costa Rica","2010","Urban","100",""
"Costa Rica","2005","Rural","90",""
"Costa Rica","2005","Total","96",""
"Costa Rica","2005","Urban","99",""
"Costa Rica","2000","Rural","89",""
"Costa Rica","2000","Total","95",""
"Costa Rica","2000","Urban","99",""
"Côte d’Ivoire","2012","Rural","68",""
"Côte d’Ivoire","2012","Total","80",""
"Côte d’Ivoire","2012","Urban","92",""
"Côte d’Ivoire","2010","Rural","68",""
"Côte d’Ivoire","2010","Total","80",""
"Côte d’Ivoire","2010","Urban","91",""
"Côte d’Ivoire","2005","Rural","67",""
"Côte d’Ivoire","2005","Total","79",""
"Côte d’Ivoire","2005","Urban","91",""
"Côte d’Ivoire","2000","Rural","67",""
"Côte d’Ivoire","2000","Total","78",""
"Côte d’Ivoire","2000","Urban","91",""
"Croatia","2012","Rural","97",""
"Croatia","2012","Total","99",""
"Croatia","2012","Urban","100",""
"Croatia","2010","Rural","97",""
"Croatia","2010","Total","99",""
"Croatia","2010","Urban","100",""
"Croatia","2005","Rural","97",""
"Croatia","2005","Total","99",""
"Croatia","2005","Urban","100",""
"Croatia","2000","Rural","97",""
"Croatia","2000","Total","98",""
"Croatia","2000","Urban","100",""
"Cuba","2012","Rural","87",""
"Cuba","2012","Total","94",""
"Cuba","2012","Urban","96",""
"Cuba","2010","Rural","86",""
"Cuba","2010","Total","93",""
"Cuba","2010","Urban","96",""
"Cuba","2005","Rural","81",""
"Cuba","2005","Total","92",""
"Cuba","2005","Urban","96",""
"Cuba","2000","Rural","77",""
"Cuba","2000","Total","91",""
"Cuba","2000","Urban","95",""
"Cyprus","2012","Total","100",""
"Cyprus","2012","Urban","100",""
"Cyprus","2012","Rural","100",""
"Cyprus","2010","Total","100",""
"Cyprus","2010","Urban","100",""
"Cyprus","2010","Rural","100",""
"Cyprus","2005","Total","100",""
"Cyprus","2005","Urban","100",""
"Cyprus","2005","Rural","100",""
"Cyprus","2000","Total","100",""
"Cyprus","2000","Urban","100",""
"Cyprus","2000","Rural","100",""
"Czech Republic","2012","Total","100",""
"Czech Republic","2012","Urban","100",""
"Czech Republic","2012","Rural","100",""
"Czech Republic","2010","Total","100",""
"Czech Republic","2010","Urban","100",""
"Czech Republic","2010","Rural","100",""
"Czech Republic","2005","Total","100",""
"Czech Republic","2005","Urban","100",""
"Czech Republic","2005","Rural","100",""
"Czech Republic","2000","Total","100",""
"Czech Republic","2000","Urban","100",""
"Czech Republic","2000","Rural","100",""
"Democratic People's Republic of Korea","2012","Rural","97",""
"Democratic People's Republic of Korea","2012","Total","98",""
"Democratic People's Republic of Korea","2012","Urban","99",""
"Democratic People's Republic of Korea","2010","Rural","97",""
"Democratic People's Republic of Korea","2010","Total","98",""
"Democratic People's Republic of Korea","2010","Urban","99",""
"Democratic People's Republic of Korea","2005","Rural","98",""
"Democratic People's Republic of Korea","2005","Total","99",""
"Democratic People's Republic of Korea","2005","Urban","99",""
"Democratic People's Republic of Korea","2000","Rural","99",""
"Democratic People's Republic of Korea","2000","Total","100",""
"Democratic People's Republic of Korea","2000","Urban","100",""
"Democratic Republic of the Congo","2012","Rural","29",""
"Democratic Republic of the Congo","2012","Total","46",""
"Democratic Republic of the Congo","2012","Urban","79",""
"Democratic Republic of the Congo","2010","Rural","29",""
"Democratic Republic of the Congo","2010","Total","46",""
"Democratic Republic of the Congo","2010","Urban","80",""
"Democratic Republic of the Congo","2005","Rural","28",""
"Democratic Republic of the Congo","2005","Total","45",""
"Democratic Republic of the Congo","2005","Urban","83",""
"Democratic Republic of the Congo","2000","Rural","27",""
"Democratic Republic of the Congo","2000","Total","44",""
"Democratic Republic of the Congo","2000","Urban","85",""
"Denmark","2012","Total","100",""
"Denmark","2012","Urban","100",""
"Denmark","2012","Rural","100",""
"Denmark","2010","Total","100",""
"Denmark","2010","Urban","100",""
"Denmark","2010","Rural","100",""
"Denmark","2005","Total","100",""
"Denmark","2005","Urban","100",""
"Denmark","2005","Rural","100",""
"Denmark","2000","Total","100",""
"Denmark","2000","Urban","100",""
"Denmark","2000","Rural","100",""
"Djibouti","2012","Rural","65",""
"Djibouti","2012","Total","92",""
"Djibouti","2012","Urban","100",""
"Djibouti","2010","Rural","65",""
"Djibouti","2010","Total","92",""
"Djibouti","2010","Urban","100",""
"Djibouti","2005","Rural","64",""
"Djibouti","2005","Total","87",""
"Djibouti","2005","Urban","94",""
"Djibouti","2000","Rural","62",""
"Djibouti","2000","Total","82",""
"Djibouti","2000","Urban","89",""
"Dominica","2012","Urban","96",""
"Dominica","2010","Urban","96",""
"Dominica","2005","Rural","92",""
"Dominica","2005","Total","94",""
"Dominica","2005","Urban","96",""
"Dominica","2000","Rural","92",""
"Dominica","2000","Total","94",""
"Dominica","2000","Urban","96",""
"Dominican Republic","2012","Rural","77",""
"Dominican Republic","2012","Total","81",""
"Dominican Republic","2012","Urban","82",""
"Dominican Republic","2010","Rural","77",""
"Dominican Republic","2010","Total","82",""
"Dominican Republic","2010","Urban","84",""
"Dominican Republic","2005","Rural","77",""
"Dominican Republic","2005","Total","84",""
"Dominican Republic","2005","Urban","87",""
"Dominican Republic","2000","Rural","77",""
"Dominican Republic","2000","Total","86",""
"Dominican Republic","2000","Urban","91",""
"Ecuador","2012","Rural","75",""
"Ecuador","2012","Total","86",""
"Ecuador","2012","Urban","92",""
"Ecuador","2010","Rural","74",""
"Ecuador","2010","Total","85",""
"Ecuador","2010","Urban","91",""
"Ecuador","2005","Rural","71",""
"Ecuador","2005","Total","83",""
"Ecuador","2005","Urban","89",""
"Ecuador","2000","Rural","68",""
"Ecuador","2000","Total","80",""
"Ecuador","2000","Urban","88",""
"Egypt","2012","Total","99",""
"Egypt","2012","Rural","99",""
"Egypt","2012","Urban","100",""
"Egypt","2010","Total","99",""
"Egypt","2010","Rural","99",""
"Egypt","2010","Urban","100",""
"Egypt","2005","Rural","97",""
"Egypt","2005","Total","98",""
"Egypt","2005","Urban","99",""
"Egypt","2000","Rural","95",""
"Egypt","2000","Total","96",""
"Egypt","2000","Urban","98",""
"El Salvador","2012","Rural","81",""
"El Salvador","2012","Total","90",""
"El Salvador","2012","Urban","95",""
"El Salvador","2010","Rural","81",""
"El Salvador","2010","Total","90",""
"El Salvador","2010","Urban","95",""
"El Salvador","2005","Rural","75",""
"El Salvador","2005","Total","87",""
"El Salvador","2005","Urban","94",""
"El Salvador","2000","Rural","70",""
"El Salvador","2000","Total","84",""
"El Salvador","2000","Urban","93",""
"Equatorial Guinea","2005","Rural","42",""
"Equatorial Guinea","2005","Total","51",""
"Equatorial Guinea","2005","Urban","66",""
"Equatorial Guinea","2000","Rural","42",""
"Equatorial Guinea","2000","Total","51",""
"Equatorial Guinea","2000","Urban","66",""
"Eritrea","2005","Rural","57",""
"Eritrea","2005","Total","60",""
"Eritrea","2005","Urban","74",""
"Eritrea","2000","Rural","50",""
"Eritrea","2000","Total","54",""
"Eritrea","2000","Urban","70",""
"Estonia","2012","Rural","98",""
"Estonia","2012","Total","99",""
"Estonia","2012","Urban","100",""
"Estonia","2010","Rural","98",""
"Estonia","2010","Total","99",""
"Estonia","2010","Urban","100",""
"Estonia","2005","Rural","98",""
"Estonia","2005","Total","99",""
"Estonia","2005","Urban","100",""
"Estonia","2000","Rural","98",""
"Estonia","2000","Total","99",""
"Estonia","2000","Urban","100",""
"Ethiopia","2012","Rural","42",""
"Ethiopia","2012","Total","52",""
"Ethiopia","2012","Urban","97",""
"Ethiopia","2010","Rural","38",""
"Ethiopia","2010","Total","48",""
"Ethiopia","2010","Urban","95",""
"Ethiopia","2005","Rural","29",""
"Ethiopia","2005","Total","38",""
"Ethiopia","2005","Urban","91",""
"Ethiopia","2000","Rural","19",""
"Ethiopia","2000","Total","29",""
"Ethiopia","2000","Urban","87",""
"Fiji","2012","Rural","92",""
"Fiji","2012","Total","96",""
"Fiji","2012","Urban","100",""
"Fiji","2010","Rural","92",""
"Fiji","2010","Total","96",""
"Fiji","2010","Urban","100",""
"Fiji","2005","Rural","89",""
"Fiji","2005","Total","94",""
"Fiji","2005","Urban","99",""
"Fiji","2000","Rural","86",""
"Fiji","2000","Total","91",""
"Fiji","2000","Urban","97",""
"Finland","2012","Total","100",""
"Finland","2012","Urban","100",""
"Finland","2012","Rural","100",""
"Finland","2010","Total","100",""
"Finland","2010","Urban","100",""
"Finland","2010","Rural","100",""
"Finland","2005","Total","100",""
"Finland","2005","Urban","100",""
"Finland","2005","Rural","100",""
"Finland","2000","Total","100",""
"Finland","2000","Urban","100",""
"Finland","2000","Rural","100",""
"France","2012","Total","100",""
"France","2012","Urban","100",""
"France","2012","Rural","100",""
"France","2010","Total","100",""
"France","2010","Urban","100",""
"France","2010","Rural","100",""
"France","2005","Total","100",""
"France","2005","Urban","100",""
"France","2005","Rural","100",""
"France","2000","Total","100",""
"France","2000","Urban","100",""
"France","2000","Rural","100",""
"Gabon","2012","Rural","63",""
"Gabon","2012","Total","92",""
"Gabon","2012","Urban","97",""
"Gabon","2010","Rural","59",""
"Gabon","2010","Total","91",""
"Gabon","2010","Urban","96",""
"Gabon","2005","Rural","50",""
"Gabon","2005","Total","88",""
"Gabon","2005","Urban","95",""
"Gabon","2000","Rural","41",""
"Gabon","2000","Total","84",""
"Gabon","2000","Urban","94",""
"Gambia","2012","Rural","84",""
"Gambia","2012","Total","90",""
"Gambia","2012","Urban","94",""
"Gambia","2010","Rural","83",""
"Gambia","2010","Total","89",""
"Gambia","2010","Urban","93",""
"Gambia","2005","Rural","80",""
"Gambia","2005","Total","86",""
"Gambia","2005","Urban","92",""
"Gambia","2000","Rural","76",""
"Gambia","2000","Total","83",""
"Gambia","2000","Urban","90",""
"Georgia","2012","Rural","97",""
"Georgia","2012","Total","99",""
"Georgia","2012","Urban","100",""
"Georgia","2010","Rural","94",""
"Georgia","2010","Total","97",""
"Georgia","2010","Urban","100",""
"Georgia","2005","Rural","87",""
"Georgia","2005","Total","93",""
"Georgia","2005","Urban","98",""
"Georgia","2000","Rural","81",""
"Georgia","2000","Total","89",""
"Georgia","2000","Urban","97",""
"Germany","2012","Total","100",""
"Germany","2012","Urban","100",""
"Germany","2012","Rural","100",""
"Germany","2010","Total","100",""
"Germany","2010","Urban","100",""
"Germany","2010","Rural","100",""
"Germany","2005","Total","100",""
"Germany","2005","Urban","100",""
"Germany","2005","Rural","100",""
"Germany","2000","Total","100",""
"Germany","2000","Urban","100",""
"Germany","2000","Rural","100",""
"Ghana","2012","Rural","81",""
"Ghana","2012","Total","87",""
"Ghana","2012","Urban","93",""
"Ghana","2010","Rural","77",""
"Ghana","2010","Total","85",""
"Ghana","2010","Urban","92",""
"Ghana","2005","Rural","67",""
"Ghana","2005","Total","78",""
"Ghana","2005","Urban","90",""
"Ghana","2000","Rural","57",""
"Ghana","2000","Total","71",""
"Ghana","2000","Urban","88",""
"Greece","2012","Rural","99",""
"Greece","2012","Total","100",""
"Greece","2012","Urban","100",""
"Greece","2010","Rural","99",""
"Greece","2010","Total","100",""
"Greece","2010","Urban","100",""
"Greece","2005","Rural","99",""
"Greece","2005","Total","100",""
"Greece","2005","Urban","100",""
"Greece","2000","Rural","98",""
"Greece","2000","Total","99",""
"Greece","2000","Urban","100",""
